Sample	Engine	FDR	Accepted
MKK18	COMBINED	0.269	4794
MKK18	COMBINED	0.27	4795
MKK18	COMBINED	0.271	4797
MKK18	COMBINED	0.272	4797
MKK18	COMBINED	0.273	4852
MKK18	COMBINED	0.274	4852
MKK18	COMBINED	0.275	4856
MKK18	COMBINED	0.276	4860
MKK18	COMBINED	0.277	4860
MKK18	COMBINED	0.278	4875
MKK18	COMBINED	0.279	4875
MKK18	COMBINED	0.28	4890
MKK18	COMBINED	0.281	4890
MKK18	COMBINED	0.282	4900
MKK18	COMBINED	0.283	4904
MKK18	COMBINED	0.284	4904
MKK18	COMBINED	0.285	4904
MKK18	COMBINED	0.286	5081
MKK18	COMBINED	0.287	5081
MKK18	COMBINED	0.288	5081
MKK18	COMBINED	0.289	5103
MKK18	COMBINED	0.29	5103
MKK18	COMBINED	0.291	5113
MKK18	COMBINED	0.292	5132
MKK18	COMBINED	0.293	5132
MKK18	COMBINED	0.294	5154
MKK18	COMBINED	0.295	5212
MKK18	COMBINED	0.296	5212
MKK18	COMBINED	0.297	5227
MKK18	COMBINED	0.298	5236
MKK18	COMBINED	0.299	5244
MKK18	COMBINED	0.3	5334
MKK18	COMBINED	0.301	5334
MKK18	COMBINED	0.302	5346
MKK18	COMBINED	0.303	5357
MKK18	COMBINED	0.304	5359
MKK18	COMBINED	0.305	5367
MKK18	COMBINED	0.306	5367
MKK18	COMBINED	0.307	5367
MKK18	COMBINED	0.308	5398
MKK18	COMBINED	0.309	5398
MKK18	COMBINED	0.31	5398
MKK18	COMBINED	0.311	5400
MKK18	COMBINED	0.312	5403
MKK18	COMBINED	0.313	5426
MKK18	COMBINED	0.314	5429
MKK18	COMBINED	0.315	5435
MKK18	COMBINED	0.316	5459
MKK18	COMBINED	0.317	5459
MKK18	COMBINED	0.318	5459
MKK18	COMBINED	0.319	5475
MKK18	COMBINED	0.32	5499
MKK18	COMBINED	0.321	5499
MKK18	COMBINED	0.322	5505
MKK18	COMBINED	0.323	5520
MKK18	COMBINED	0.324	5520
MKK18	COMBINED	0.325	5526
MKK18	COMBINED	0.326	5526
MKK18	COMBINED	0.327	5526
MKK18	COMBINED	0.328	5526
MKK18	COMBINED	0.329	5526
MKK18	COMBINED	0.33	5526
MKK18	COMBINED	0.331	5526
MKK18	COMBINED	0.332	5526
MKK18	COMBINED	0.333	5526
MKK18	COMBINED	0.334	6155
MKK18	COMBINED	0.335	6155
MKK18	COMBINED	0.336	6155
MKK18	COMBINED	0.337	6155
MKK18	COMBINED	0.338	6155
MKK18	COMBINED	0.339	6155
MKK18	COMBINED	0.34	6164
MKK18	COMBINED	0.341	6166
MKK18	COMBINED	0.342	6166
MKK18	COMBINED	0.343	6168
MKK18	COMBINED	0.344	6170
MKK18	COMBINED	0.345	6173
MKK18	COMBINED	0.346	6179
MKK18	COMBINED	0.347	6184
MKK18	COMBINED	0.348	6213
MKK18	COMBINED	0.349	6237
MKK18	COMBINED	0.35	6257
MKK18	COMBINED	0.351	6257
MKK18	COMBINED	0.352	6261
